web-scraper-order,web-scraper-start-url,pages,pages-href,name,year,cost,state,run,fuel,color,volume,cuzov,transmission,drive-unit,region,update,show,table
"1574509746-1121","https://cars.av.by/search/page/436?&search_time=7","Audi 100 4A, C4 TDI","https://cars.av.by/audi/100/16344881","Audi 100 4A, C4 TDI, 1993","1993","2 330","с пробегом","409450 км","дизель","белый","1900 см3","седан","Механика","Передний","Новогрудок, Гродненская обл.","Опубликовано
                            
                        
                        21.11.2019","1118                         просмотров
                                                    (+107 сегодня)","Дополнительные опции:
                                
                                        Материал салона - искусственная кожа
                                                            Цвет салона - темный"
"1574510912-1639","https://cars.av.by/search/page/415?&search_time=7","Acura RDX I (рестайлинг)","https://cars.av.by/acura/rdx/16348316","Acura RDX I (рестайлинг), 2011","2011","14 800","с пробегом","93000 км","бензин","белый","2300 см3","внедорожник 5 дв.","Автомат","Подключаемый полный","Минск","Опубликовано
                            
                        
                        21.11.2019","99                         просмотров
                                                    (+20 сегодня)","Дополнительные опции:
                                
                                        Материал салона - натуральная кожа
                                                            Цвет салона - темный
                                    
                                                                Экстерьер
                
                                        Легкосплавные диски
                                    
                                Системы помощи
                
                                        Камера заднего вида
                                        Датчик дождя
                                    
                                Оптика и свет
                
                                        Противотуманные фары
                                        Ксеноновые фары
                                    
                                Мультимедиа
                
                                        Штатная навигация
                                        Мультимедийный экран
                                        USB
                                        CD/MP3 проигрыватель
                                        Bluetooth
                                        AUX/iPod
                                    
                                Комфорт
                
                                        Электростеклоподъемники передние
                                        Электростеклоподъемники задние
                                        Электрорегулировка сидений
                                        Управление мультимедиа с руля
                                        Круиз-контроль
                                    
                                Климат и обогрев
                
                                        Обогрев сидений
                                        Обогрев лобового стекла
                                        Обогрев зеркал
                                        Кондиционер
                                        Климат-контроль
                                    
                                Интерьер
                
                                        Люк
                                    
                                Безопасность
                
                                        Подушки безопасности передние
                                        Подушки безопасности задние
                                        Подушки безопасности боковые
                                        Иммобилайзер
                                        Антипробуксовочная система
                                        ESP (система поддержания динамической стабильности)
                                        ABS (антиблокировочная система)"
"1574510443-1432","https://cars.av.by/search/page/423?&search_time=7","Renault Clio II","https://cars.av.by/renault/clio/16347250","Renault Clio II, 2003","2003","2 700","с пробегом","225694 км","дизель","синий","1500 см3","хэтчбек 5 дв.","Механика","Передний","Минск","Опубликовано
                            
                        
                        21.11.2019","143                         просмотра","Дополнительные опции:
                                
                                        Материал салона - ткань
                                                            Цвет салона - темный
                                    
                                                                Экстерьер
                
                                        Фаркоп
                                    
                                Оптика и свет
                
                                        Противотуманные фары
                                    
                                Мультимедиа
                
                                        CD/MP3 проигрыватель
                                    
                                Климат и обогрев
                
                                        Обогрев лобового стекла
                                        Обогрев зеркал
                                        Кондиционер
                                    
                                Безопасность
                
                                        Подушки безопасности передние
                                        Подушки безопасности боковые
                                        ESP (система поддержания динамической стабильности)
                                        ABS (антиблокировочная система)"
"1574509873-1177","https://cars.av.by/search/page/434?&search_time=7","Audi A6 C5","https://cars.av.by/audi/a6/16312586","Audi A6 C5, 2002","2002","5 200","с пробегом","250000 км","бензин","черный","2400 см3","универсал","Механика","Передний","Витебск, Витебская обл.","Опубликовано
                            
                        
                        19.11.2019
                    
                                            
                            Поднято
                            21.11.2019","308                         просмотров
                                                    (+20 сегодня)","Дополнительные опции:
                                
                                        Материал салона - натуральная кожа
                                                            Цвет салона - темный
                                    
                                                                Экстерьер
                
                                        Рейлинги на крыше
                                    
                                Оптика и свет
                
                                        Противотуманные фары
                                        Ксеноновые фары
                                    
                                Мультимедиа
                
                                        USB
                                        CD/MP3 проигрыватель
                                        Bluetooth
                                        AUX/iPod
                                    
                                Комфорт
                
                                        Электростеклоподъемники передние
                                        Электростеклоподъемники задние
                                        Электрорегулировка сидений
                                    
                                Климат и обогрев
                
                                        Обогрев сидений
                                        Обогрев лобового стекла
                                        Обогрев зеркал
                                        Кондиционер
                                        Климат-контроль
                                    
                                Интерьер
                
                                        Люк
                                    
                                Безопасность
                
                                        Сигнализация
                                        Подушки безопасности передние
                                        Подушки безопасности задние
                                        Подушки безопасности боковые
                                        Антипробуксовочная система
                                        ESP (система поддержания динамической стабильности)
                                        ABS (антиблокировочная система)"
"1574511199-1767","https://cars.av.by/search/page/410?&search_time=7","Volkswagen Golf VII","https://cars.av.by/volkswagen/golf/16335099","Volkswagen Golf VII, 2015","2015","12 800","с пробегом","107035 км","бензин (метан)","белый","1400 см3","универсал","Механика","Передний","Гродно, Гродненская обл.","Опубликовано
                            
                        
                        20.11.2019
                    
                                            
                            Поднято
                            21.11.2019","297                         просмотров
                                                    (+14 сегодня)","Дополнительные опции:
                                
                                        Материал салона - ткань
                                                            Цвет салона - темный
                                    
                                                                Экстерьер
                
                                        Фаркоп
                                        Рейлинги на крыше
                                        Легкосплавные диски
                                    
                                Системы помощи
                
                                        Парктроники
                                        Камера заднего вида
                                    
                                Мультимедиа
                
                                        Мультимедийный экран
                                        USB
                                        CD/MP3 проигрыватель
                                        Bluetooth
                                        AUX/iPod
                                    
                                Комфорт
                
                                        Электростеклоподъемники передние
                                        Электростеклоподъемники задние
                                        Управление мультимедиа с руля
                                        Круиз-контроль
                                    
                                Климат и обогрев
                
                                        Обогрев сидений
                                        Обогрев лобового стекла
                                        Обогрев зеркал
                                        Кондиционер
                                    
                                Безопасность
                
                                        Сигнализация
                                        Подушки безопасности боковые
                                        Антипробуксовочная система
                                        ESP (система поддержания динамической стабильности)
                                        ABS (антиблокировочная система)"
"1574509863-1172","https://cars.av.by/search/page/434?&search_time=7","Renault Megane III","https://cars.av.by/renault/megane/16345052","Renault Megane III, 2010","2010","6 500","с пробегом","180200 км","дизель","серебристый","1500 см3","хэтчбек 5 дв.","Механика","Передний","Минск","Опубликовано
                            
                        
                        21.11.2019","176                         просмотров
                                                    (+14 сегодня)","Дополнительные опции:
                                
                                        Материал салона - ткань
                                                            Цвет салона - темный
                                    
                                                                Мультимедиа
                
                                        CD/MP3 проигрыватель
                                        Bluetooth
                                    
                                Комфорт
                
                                        Электростеклоподъемники передние
                                        Круиз-контроль
                                    
                                Климат и обогрев
                
                                        Обогрев зеркал
                                        Кондиционер
                                    
                                Безопасность
                
                                        Подушки безопасности передние
                                        Подушки безопасности задние
                                        Подушки безопасности боковые
                                        Антипробуксовочная система
                                        ESP (система поддержания динамической стабильности)
                                        ABS (антиблокировочная система)"
"1574511690-1988","https://cars.av.by/search/page/401?&search_time=7","Hyundai Elantra XD CRDi","https://cars.av.by/hyundai/elantra/16294116","Hyundai Elantra XD CRDi, 2002","2002","3 200","с пробегом","265400 км","дизель","коричневый","2000 см3","хэтчбек 5 дв.","Механика","Передний","Минск","Опубликовано
                            
                        
                        22.11.2019","188                         просмотров","Дополнительные опции:
                                
                                        Материал салона - комбинированный
                                                            Цвет салона - комбинированный
                                    
                                                                Мультимедиа
                
                                        USB
                                        CD/MP3 проигрыватель
                                        AUX/iPod
                                    
                                Комфорт
                
                                        Электростеклоподъемники передние
                                        Электростеклоподъемники задние
                                    
                                Климат и обогрев
                
                                        Обогрев зеркал
                                        Кондиционер
                                    
                                Безопасность
                
                                        Сигнализация
                                        Подушки безопасности передние
                                        Подушки безопасности боковые
                                        Иммобилайзер
                                        ABS (антиблокировочная система)"
"1574509951-1211","https://cars.av.by/search/page/432?&search_time=7","Chevrolet Lacetti","https://cars.av.by/chevrolet/lacetti/16345243","Chevrolet Lacetti, 2004","2004","4 000","с пробегом","197590 км","бензин","серебристый","1800 см3","хэтчбек 5 дв.","Механика","Передний","Минск","Опубликовано
                            
                        
                        21.11.2019","175                         просмотров
                                                    (+15 сегодня)","Дополнительные опции:
                                
                                        Материал салона - ткань
                                                            Цвет салона - светлый
                                    
                                                                Экстерьер
                
                                        Легкосплавные диски
                                    
                                Системы помощи
                
                                        Датчик дождя
                                    
                                Оптика и свет
                
                                        Противотуманные фары
                                    
                                Мультимедиа
                
                                        USB
                                        Bluetooth
                                        AUX/iPod
                                    
                                Комфорт
                
                                        Электростеклоподъемники передние
                                        Электростеклоподъемники задние
                                        Управление мультимедиа с руля
                                    
                                Климат и обогрев
                
                                        Обогрев лобового стекла
                                        Обогрев зеркал
                                        Кондиционер
                                        Климат-контроль
                                    
                                Безопасность
                
                                        Сигнализация
                                        Подушки безопасности передние
                                        Подушки безопасности задние
                                        Подушки безопасности боковые
                                        Иммобилайзер
                                        ESP (система поддержания динамической стабильности)
                                        ABS (антиблокировочная система)"
"1574511065-1707","https://cars.av.by/search/page/412?&search_time=7","Volkswagen Golf III","https://cars.av.by/volkswagen/golf/16348379","Volkswagen Golf III, 1993","1993","1 500","с пробегом","73000 км","бензин","синий","1600 см3","хэтчбек 3 дв.","Механика","Передний","Минск","Опубликовано
                            
                        
                        21.11.2019","108                         просмотров
                                                    (+9 сегодня)","Дополнительные опции:
                                
                                        Материал салона - ткань
                                                            Цвет салона - светлый
                                    
                                                                Интерьер
                
                                        Люк"
"1574511713-1999","https://cars.av.by/search/page/401?&search_time=7","Citroen C3 Picasso I 1.6i","https://cars.av.by/citroen/c3-picasso/16111259","Citroen C3 Picasso I 1.6i, 2009","2009","5 950","с пробегом","157000 км","бензин","зеленый","1600 см3","минивэн","Механика","Передний","Минск","Опубликовано
                            
                        
                        22.11.2019","62                         просмотра","Дополнительные опции:
                                
                                        Материал салона - ткань
                                                            Цвет салона - темный"
