volume,all_views,run,cost,today_views,days_ago,is_restyle,modified,up,age,Легкосплавные диски,Панорамная крыша,Круиз-контроль,Противотуманные фары,Обогрев зеркал,Парктроники,Системы помощи,ESP (система поддержания динамической стабильности),Ксеноновые фары,CD/MP3 проигрыватель,Обогрев руля,Управление мультимедиа с руля,Климат-контроль,Обогрев лобового стекла,Фаркоп,Светодиодные фары,Мультимедийный экран,Иммобилайзер,Контроль мертвых зон на зеркалах,Подушки безопасности боковые,Кондиционер,Материал салона - натуральная кожа,Датчик дождя,Штатная навигация,Электростеклоподъемники передние,AUX/iPod,USB,Подушки безопасности задние,Автозапуск двигателя,Сигнализация,Обогрев сидений,Камера заднего вида,ABS (антиблокировочная система),Рейлинги на крыше,Электрорегулировка сидений,Подушки безопасности передние,Электростеклоподъемники задние,Bluetooth,Антипробуксовочная система,Люк,cuzov,fuel,brand,region,model,color,drive-unit,state,transmission
2000,46,210000,6 900,46,1,0,0,0,13,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,седан,дизель,Volkswagen,Брестская обл.,Passat B6,черный,Передний,с пробегом,Автомат
5328,19,183000,12 850,19,0,0,0,0,14,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,пикап,бензин,Chevrolet,Минск,Avalanche I Z71,черный,Подключаемый полный,с пробегом,Автомат
1900,26,342000,3 250,26,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,хэтчбек,дизель,Volkswagen,Минск,Polo III (рестайлинг),серебристый,Передний,с пробегом,Механика
3000,13,244960,4 199,13,0,0,0,0,18,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,седан,бензин,Nissan,Минск,Maxima IV (A33),зеленый,Передний,с пробегом,Механика
3500,20,174000,29 750,20,0,0,0,0,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,внедорожник,бензин,Toyota,Минск,Highlander III (XU50) 3.5i V6 AWD,черный,,с пробегом,Автомат
3500,46,260000,7 100,46,1,0,0,0,17,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,седан,бензин,BMW,Брестская обл.,7 серия E65,черный,Задний,с пробегом,Автомат
1500,13,147000,16 500,13,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,внедорожник,дизель,Nissan,Минск,Qashqai II TEKNA,фиолетовый,Передний,с пробегом,Механика
2200,40,166000,17 650,40,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,внедорожник,дизель,Hyundai,Минск,Santa Fe DM,серебристый,Постоянный полный,с пробегом,Автомат
1400,10,161400,7 900,10,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,хэтчбек,бензин,Volkswagen,Минск,Golf VI,синий,Передний,с пробегом,Механика
2000,109,260000,4 250,47,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,минивэн,дизель,Opel,Минск,Zafira A,серебристый,,с пробегом,Механика
1900,93,153678,2 450,93,1,0,0,0,21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,универсал,дизель,Peugeot,Минск,406 I,бордовый,Передний,с пробегом,Механика
2000,8,220000,11 499,8,0,0,0,0,8,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,внедорожник,бензин,Kia,Минск,Sportage III,серебристый,Передний,с пробегом,Автомат
2000,1146,1000000,244,100,3,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,минивэн,бензин,Chrysler,Гомельская обл.,Voyager III,синий,,на запчасти,Автомат
